date_ob,ob
4/7/2017,2.531
4/8/2017,3.426
4/9/2017,4.881
4/10/2017,3.415
4/11/2017,1.347
4/12/2017,1.925
4/13/2017,4.024
4/14/2017,5.046
4/15/2017,6.09
4/16/2017,7.151
4/17/2017,5.59
4/18/2017,2.47
4/19/2017,3.442
4/20/2017,4.139
4/21/2017,4.988
4/22/2017,5.662
4/23/2017,5.248
4/24/2017,3.544
4/25/2017,2.225
4/26/2017,2.157
4/27/2017,2.366
4/28/2017,2.869
4/29/2017,3.236
4/30/2017,3.865
5/1/2017,6.004
5/2/2017,6.594
5/3/2017,8.1
5/4/2017,9.26
5/5/2017,9.51
5/6/2017,10.18
5/7/2017,9.04
5/8/2017,9.07
5/9/2017,8.71
5/10/2017,8.95
5/11/2017,8.84
5/12/2017,8.98
5/13/2017,9.73
5/14/2017,9.66
5/15/2017,10.09
5/16/2017,11.21
5/17/2017,11.35
5/18/2017,10.19
5/19/2017,9.57
5/20/2017,9.99
5/21/2017,10.33
5/22/2017,9.77
5/23/2017,9.51
5/24/2017,11.03
5/25/2017,11.67
5/26/2017,11.13
5/27/2017,11.72
5/28/2017,12.31
5/29/2017,11.83
5/30/2017,10.86
5/31/2017,11.11
6/1/2017,12.89
6/2/2017,14.1
6/3/2017,15.49
6/4/2017,16.68
6/5/2017,16.49
6/6/2017,17.15
6/7/2017,17.46
6/8/2017,17.77
6/9/2017,18.19
6/10/2017,16.89
6/11/2017,17.42
6/12/2017,17.11
6/13/2017,17.53
6/14/2017,16.09
6/15/2017,17.1
6/16/2017,16.46
6/17/2017,16.88
6/18/2017,16.41
6/19/2017,15.8
6/20/2017,16.3
6/21/2017,17.63
6/22/2017,16.97
6/23/2017,16.2
6/24/2017,15.33
6/25/2017,14.04
6/26/2017,14.4
6/27/2017,15.96
6/28/2017,16.66
6/29/2017,17.65
6/30/2017,17.91
7/1/2017,17.74
7/2/2017,18.12
7/3/2017,17.9
7/4/2017,18.85
7/5/2017,19.68
7/6/2017,20.58
7/7/2017,20.88
7/8/2017,20.49
7/9/2017,20.74
7/10/2017,21.39
7/11/2017,21.42
7/12/2017,21.17
7/13/2017,19.07
7/14/2017,19.53
7/15/2017,19.69
7/16/2017,21.04
7/17/2017,20.23
7/18/2017,21.1
7/19/2017,20.24
7/20/2017,18.82
7/21/2017,19.68
7/22/2017,19.93
7/23/2017,19.51
7/24/2017,20.49
7/25/2017,20.99
7/26/2017,21.17
7/27/2017,21.14
7/28/2017,21.86
7/29/2017,22.09
7/30/2017,22.05
7/31/2017,22.51
8/1/2017,23.05
8/2/2017,22.16
8/3/2017,20.01
8/4/2017,19.65
8/5/2017,19.85
8/6/2017,19.81
8/7/2017,20.06
8/8/2017,20.24
8/9/2017,20.56
8/10/2017,19.63
8/11/2017,19.68
8/12/2017,19.92
8/13/2017,20.34
8/14/2017,20.46
8/15/2017,20.63
8/16/2017,20.11
8/17/2017,20.65
8/18/2017,20.41
8/19/2017,20.58
8/20/2017,20.53
8/21/2017,20.46
8/22/2017,19.02
8/23/2017,17.97
8/24/2017,17.01
8/25/2017,16.38
8/26/2017,17.51
8/27/2017,18.31
8/28/2017,18.93
8/29/2017,19.7
8/30/2017,20.24
8/31/2017,19.24
9/1/2017,18.19
9/2/2017,18.48
9/3/2017,18.23
9/4/2017,18.18
9/5/2017,17.38
9/6/2017,16.47
9/7/2017,16.22
9/8/2017,17.27
9/9/2017,16.38
9/10/2017,16.15
9/11/2017,18.07
9/12/2017,18.03
9/13/2017,18.5
9/14/2017,17.9
9/15/2017,16.75
9/16/2017,15
9/17/2017,12.98
9/18/2017,12.64
9/19/2017,13.05
9/20/2017,14.09
9/21/2017,15.17
9/22/2017,13.78
9/23/2017,14.08
9/24/2017,13.38
9/25/2017,12.64
9/26/2017,12.26
9/27/2017,11.54
9/28/2017,11.91
9/29/2017,12.8
9/30/2017,11.61
10/1/2017,11.35
10/2/2017,12.55
10/3/2017,13.34
10/4/2017,11.36
10/5/2017,10.82
10/6/2017,10.12
10/7/2017,9.81
10/8/2017,10.46
10/9/2017,10.13
10/10/2017,9.01
10/11/2017,8.11
10/12/2017,8.32
10/13/2017,8.57
10/14/2017,7.984
10/15/2017,7.349
10/16/2017,6.33
10/17/2017,6.879
10/18/2017,8.05
10/19/2017,8.6
